minP,t,eps,NMI,ARI
5,5,0.75,0.0,0.0
10,5,0.75,0.0,0.0
15,5,0.75,0.0,0.0
5,10,0.75,0.0,0.0
10,10,0.75,0.0,0.0
15,10,0.75,0.0,0.0
5,15,0.75,0.0,0.0
10,15,0.75,0.0,0.0
15,15,0.75,0.0,0.0
5,5,1.0,0.0,0.0
10,5,1.0,0.0,0.0
15,5,1.0,0.0,0.0
5,10,1.0,0.0,0.0
10,10,1.0,0.0,0.0
15,10,1.0,0.0,0.0
5,15,1.0,0.0,0.0
10,15,1.0,0.0,0.0
15,15,1.0,0.0,0.0
5,5,1.25,0.0,0.0
10,5,1.25,0.0,0.0
15,5,1.25,0.0,0.0
5,10,1.25,0.0073,0.0003
10,10,1.25,0.0,0.0
15,10,1.25,0.0,0.0
5,15,1.25,0.0107,0.0006
10,15,1.25,0.0,0.0
15,15,1.25,0.0,0.0
5,5,1.5,0.0416,0.0007
10,5,1.5,0.0131,0.0008
15,5,1.5,0.0084,0.0006
5,10,1.5,0.0181,0.0024
10,10,1.5,0.0128,0.0008
15,10,1.5,0.0149,0.0019
5,15,1.5,0.0182,0.0022
10,15,1.5,0.0165,0.0026
15,15,1.5,0.0221,0.003
5,5,2.0,0.0358,0.0127
10,5,2.0,0.0,0.0
15,5,2.0,0.0297,0.0149
5,10,2.0,0.0395,0.0215
10,10,2.0,0.0334,0.0166
15,10,2.0,0.0288,0.0148
5,15,2.0,0.0426,0.0228
10,15,2.0,0.0364,0.0195
15,15,2.0,0.0318,0.017
5,5,3.0,0.0257,0.0018
10,5,3.0,0.0282,0.0042
15,5,3.0,0.0145,0.0003
5,10,3.0,0.0149,0.0002
10,10,3.0,0.0193,0.0036
15,10,3.0,0.02,0.0006
5,15,3.0,0.0205,0.0009
10,15,3.0,0.0177,0.0004
15,15,3.0,0.0176,0.0005
5,5,4.0,0.008,0.0
10,5,4.0,0.0121,-0.0
15,5,4.0,0.0155,0.0004
5,10,4.0,0.0115,0.0001
10,10,4.0,0.0054,-0.0
15,10,4.0,0.007,-0.0
5,15,4.0,0.005,-0.0
10,15,4.0,0.005,0.0
15,15,4.0,0.005,-0.0
5,5,5.0,0.0055,0.0001
10,5,5.0,0.0092,-0.0001
15,5,5.0,0.0047,0.0
5,10,5.0,0.0061,0.0001
10,10,5.0,0.0032,0.0
15,10,5.0,0.0032,0.0
5,15,5.0,0.0028,0.0
10,15,5.0,0.0044,0.0001
15,15,5.0,0.0045,0.0001
